time (ms) ,v(mv),A(ma), w(mw), o/f, 0_v(mv),  0_A(ma), 0_watt(mw), 0_o/f, 0_in, 1_v(mv), 1_A(ma), 1_watt(mw), 1_o/f,  1_in,  chksum8-2,  chksum8-xor
0000930260,15320,0431,06603,0,04993,0441,02202,1,00,11987,0220,02637,1,00,cc,10
0000930309,15316,0401,06141,0,04994,0434,02167,1,00,11988,0217,02601,1,00,be,12
0000930359,15320,0400,06128,0,04992,0434,02166,1,00,11988,0219,02625,1,00,b5,13
0000930409,15306,0431,06596,0,04994,0443,02212,1,00,11987,0216,02589,1,00,a9,15
0000930460,15321,0407,06235,0,04995,0445,02222,1,00,11989,0217,02601,1,00,be,1c
0000930510,15316,0418,06402,0,04993,0419,02092,1,00,11987,0216,02589,1,00,b0,18
0000930559,15314,0413,06325,0,04994,0439,02192,1,00,11988,0220,02637,1,00,ac,16
0000930609,15318,0406,06219,0,04995,0436,02177,1,00,11991,0216,02590,1,00,aa,10
0000930660,15319,0411,06296,0,04993,0437,02182,1,00,11989,0216,02589,1,00,a1,13
0000930710,15312,0412,06308,0,04994,0431,02152,1,00,11988,0216,02589,1,00,ba,16
0000930760,15318,0399,06112,0,04993,0437,02182,1,00,11987,0219,02625,1,00,a7,1f
0000930810,15315,0425,06509,0,04994,0435,02172,1,00,11989,0217,02601,1,00,b6,18
0000930859,15317,0403,06173,0,04994,0428,02137,1,00,11987,0218,02613,1,00,a9,15
0000930910,15320,0403,06174,0,04996,0431,02153,1,00,11987,0217,02601,1,00,c4,1e
0000930960,15312,0404,06186,0,04993,0431,02152,1,00,11988,0217,02601,1,00,bd,19
0000931010,15318,0403,06173,0,04991,0437,02181,1,00,11986,0215,02577,1,00,bb,15
0000931060,15318,0402,06158,0,04992,0449,02241,1,00,11990,0217,02601,1,00,c2,18
0000931110,15314,0426,06523,0,04992,0436,02176,1,00,11985,0215,02576,1,00,b8,16
0000931160,15312,0411,06293,0,04995,0447,02232,1,00,11990,0213,02553,1,00,c4,18
0000931209,15317,0407,06234,0,04994,0427,02132,1,00,11988,0215,02577,1,00,b0,16
0000931260,15319,0406,06219,0,04993,0437,02182,1,00,11986,0214,02565,1,00,b0,18
0000931310,15310,0416,06369,0,04992,0430,02146,1,00,11986,0217,02601,1,00,c4,1c
0000931360,15321,0386,05914,0,04992,0428,02136,1,00,11987,0216,02589,1,00,a7,19
0000931410,15320,0408,06250,0,04991,0433,02161,1,00,11989,0219,02625,1,00,c2,1e
0000931460,15311,0416,06369,0,04996,0436,02178,1,00,11988,0216,02589,1,00,9e,1e
0000931510,15323,0408,06251,0,04991,0436,02176,1,00,11989,0214,02565,1,00,b6,14
0000931559,15318,0408,06250,0,04993,0430,02147,1,00,11989,0216,02589,1,00,a4,16
0000931610,15315,0413,06325,0,04993,0416,02077,1,00,11990,0216,02589,1,00,b6,12
0000931660,15316,0393,06019,0,04994,0436,02177,1,00,11989,0214,02565,1,00,a5,19
0000931711,15317,0420,06433,0,04993,0431,02152,1,00,11985,0216,02588,1,00,ba,16
0000931760,15313,0413,06324,0,04992,0430,02146,1,00,11988,0215,02577,1,00,b8,1e
0000931810,15324,0413,06328,0,04993,0424,02117,1,00,11986,0216,02589,1,00,b2,12
0000931860,15316,0410,06279,0,04993,0413,02062,1,00,11987,0218,02613,1,00,b6,1a
0000931910,15319,0405,06204,0,04995,0428,02137,1,00,11989,0218,02613,1,00,b2,1c
0000931960,15323,0403,06175,0,04993,0436,02177,1,00,11983,0215,02576,1,00,ad,1b
0000932010,15315,0428,06555,0,04993,0429,02142,1,00,11988,0218,02613,1,00,b6,12
0000932060,15313,0409,06263,0,04994,0432,02157,1,00,11988,0221,02649,1,00,b4,1e
0000932110,15314,0413,06324,0,04994,0431,02152,1,00,11988,0218,02613,1,00,c7,15
0000932160,15312,0410,06278,0,04993,0435,02172,1,00,11987,0215,02577,1,00,b5,1d
0000932210,15319,0407,06234,0,04992,0433,02161,1,00,11987,0216,02589,1,00,b5,1b
0000932260,15322,0405,06205,0,04992,0429,02141,1,00,11989,0214,02565,1,00,bd,13
0000932310,15310,0422,06461,0,04994,0433,02162,1,00,11986,0216,02589,1,00,bc,16
0000932360,15317,0400,06127,0,04991,0428,02136,1,00,11985,0216,02588,1,00,b5,1d
0000932409,15321,0406,06220,0,04992,0425,02121,1,00,11987,0217,02601,1,00,c9,1b
0000932459,15317,0418,06402,0,04993,0432,02157,1,00,11986,0215,02577,1,00,a9,15
0000932509,15319,0412,06311,0,04994,0432,02157,1,00,11986,0215,02577,1,00,b1,17
0000932561,15323,0403,06175,0,04994,0438,02187,1,00,11988,0216,02589,1,00,a1,1b
0000932610,15312,0432,06615,0,04995,0429,02142,1,00,11985,0219,02624,1,00,b9,11
0000932660,15319,0484,07414,0,04994,0664,03316,1,00,11986,0218,02613,1,00,a6,1c
0000932710,15321,0408,06251,0,04994,0429,02142,1,00,11988,0217,02601,1,00,be,18
0000932760,15312,0403,06170,0,04994,0430,02147,1,00,11985,0214,02564,1,00,bf,17
0000932810,15324,0405,06206,0,04993,0434,02167,1,00,11989,0217,02601,1,00,ba,10
0000932860,15320,0411,06296,0,04994,0431,02152,1,00,11985,0219,02624,1,00,b8,1e
0000932910,15312,0415,06354,0,04995,0426,02127,1,00,11988,0216,02589,1,00,ab,11
0000932960,15318,0398,06096,0,04996,0439,02193,1,00,11986,0218,02613,1,00,97,11
0000933010,15317,0416,06372,0,04995,0415,02073,1,00,11987,0217,02601,1,00,be,16
0000933061,15315,0408,06248,0,04993,0430,02147,1,00,11985,0221,02648,1,00,b6,18
0000933109,15322,0415,06358,0,04993,0430,02147,1,00,11985,0220,02636,1,00,b9,17
0000933159,15321,0420,06434,0,04995,0437,02183,1,00,11986,0218,02613,1,00,b2,1c
0000933209,15308,0416,06368,0,04993,0427,02132,1,00,11985,0221,02648,1,00,ae,10
0000933260,15319,0396,06066,0,04995,0410,02047,1,00,11988,0216,02589,1,00,a3,1b
0000933310,15324,0416,06374,0,04995,0441,02202,1,00,11987,0217,02601,1,00,c2,16
0000933360,15312,0396,06063,0,04994,0429,02142,1,00,11985,0218,02612,1,00,b5,19
0000933409,15316,0405,06203,0,04995,0430,02148,1,00,11987,0214,02565,1,00,b6,12
0000933460,15314,0417,06386,0,04992,0431,02151,1,00,11988,0215,02577,1,00,af,13
0000933510,15312,0414,06339,0,04994,0445,02222,1,00,11989,0213,02553,1,00,bb,17
0000933559,15324,0390,05976,0,04992,0425,02121,1,00,11987,0219,02625,1,00,a4,10
0000933611,15318,0414,06342,0,04994,0437,02182,1,00,11990,0219,02625,1,00,b5,1f
0000933659,15317,0404,06188,0,04994,0427,02132,1,00,11990,0214,02565,1,00,ab,19
0000933709,15318,0402,06157,0,04993,0431,02152,1,00,11988,0215,02577,1,00,ad,1b

