time (ms) ,v(mv),A(ma), w(mw), o/f, 0_v(mv),  0_A(ma), 0_watt(mw), 0_o/f, 0_in, 1_v(mv), 1_A(ma), 1_watt(mw), 1_o/f,  1_in,  chksum8-2,  chksum8-xor
0000919360,15314,0408,06248,0,04994,0441,02202,1,00,11991,0220,02638,1,00,bb,13
0000919409,15321,0418,06404,0,04994,0430,02147,1,00,11988,0216,02589,1,00,a8,12
0000919459,15311,0420,06430,0,04995,0427,02133,1,00,11988,0217,02601,1,00,b8,1e
0000919510,15316,0407,06233,0,04992,0418,02086,1,00,11989,0215,02577,1,00,aa,10
0000919560,15321,0402,06159,0,04994,0437,02182,1,00,11989,0215,02577,1,00,a7,17
0000919611,15309,0426,06521,0,04994,0430,02147,1,00,11990,0213,02554,1,00,ba,14
0000919660,15319,0400,06127,0,04993,0432,02157,1,00,11990,0217,02601,1,00,bc,16
0000919709,15314,0426,06524,0,04994,0449,02242,1,00,11987,0211,02529,1,00,a7,13
0000919759,15311,0408,06247,0,04994,0429,02142,1,00,11990,0218,02613,1,00,ab,1d
0000919810,15322,0406,06220,0,04993,0436,02177,1,00,11987,0217,02601,1,00,b9,15
0000919860,15318,0417,06387,0,04992,0430,02146,1,00,11988,0217,02601,1,00,a9,1d
0000919910,15307,0416,06367,0,04992,0451,02251,1,00,11987,0215,02577,1,00,a9,17
0000919959,15323,0401,06144,0,04991,0437,02181,1,00,11989,0215,02577,1,00,a4,1a
0000920010,15312,0424,06492,0,04994,0423,02112,1,00,11988,0214,02565,1,00,c6,16
0000920060,15318,0400,06127,0,04994,0438,02187,1,00,11987,0213,02553,1,00,b9,1d
0000920110,15324,0406,06221,0,04995,0440,02198,1,00,11989,0214,02565,1,00,bd,1b
0000920160,15316,0420,06433,0,04994,0426,02127,1,00,11991,0216,02590,1,00,c2,18
0000920210,15318,0395,06050,0,04992,0423,02111,1,00,11987,0219,02625,1,00,c3,19
0000920259,15319,0396,06066,0,04994,0420,02097,1,00,11991,0219,02626,1,00,a5,1d
0000920310,15314,0424,06493,0,04995,0426,02127,1,00,11988,0214,02565,1,00,b6,10
0000920360,15319,0408,06250,0,04993,0429,02142,1,00,11990,0218,02613,1,00,be,10
0000920409,15324,0413,06329,0,04993,0438,02187,1,00,11989,0216,02589,1,00,a0,1c
0000920460,15312,0418,06400,0,04992,0438,02186,1,00,11988,0217,02601,1,00,bc,12
0000920509,15317,0398,06096,0,04996,0445,02223,1,00,11989,0213,02553,1,00,a4,1e
0000920560,15318,0416,06372,0,04994,0428,02137,1,00,11989,0214,02565,1,00,ab,1b
0000920610,15316,0414,06340,0,04994,0430,02147,1,00,11990,0215,02578,1,00,c1,19
0000920660,15317,0423,06479,0,04993,0432,02157,1,00,11991,0218,02614,1,00,b1,17
0000920710,15315,0414,06340,0,04993,0434,02167,1,00,11988,0219,02625,1,00,b8,14
0000920760,15311,0415,06354,0,04993,0433,02162,1,00,11988,0219,02625,1,00,b7,11
0000920810,15320,0388,05944,0,04994,0428,02137,1,00,11989,0218,02613,1,00,aa,18
0000920860,15323,0425,06512,0,04991,0432,02156,1,00,11990,0215,02577,1,00,bb,1d
0000920910,15309,0412,06307,0,04993,0424,02117,1,00,11986,0215,02577,1,00,b8,12
0000920960,15322,0411,06297,0,04993,0431,02152,1,00,11988,0218,02613,1,00,b8,10
0000921010,15315,0417,06386,0,04993,0429,02142,1,00,11990,0214,02565,1,00,bd,13
0000921061,15313,0416,06370,0,04993,0432,02157,1,00,11988,0217,02601,1,00,c0,1e
0000921110,15320,0393,06021,0,04994,0427,02132,1,00,11988,0218,02613,1,00,c8,18
0000921160,15319,0420,06434,0,04993,0425,02122,1,00,11990,0220,02637,1,00,c8,1a
0000921210,15309,0410,06276,0,04993,0421,02102,1,00,11987,0215,02577,1,00,c3,1d
0000921260,15317,0395,06050,0,04993,0428,02137,1,00,11990,0215,02577,1,00,b4,10
0000921309,15318,0417,06387,0,04992,0432,02156,1,00,11988,0216,02589,1,00,a1,13
0000921360,15308,0419,06414,0,04996,0446,02228,1,00,11990,0215,02577,1,00,ae,18
0000921410,15316,0392,06004,0,04993,0435,02172,1,00,11990,0216,02589,1,00,bb,19
0000921461,15318,0421,06449,0,04993,0432,02157,1,00,11988,0218,02613,1,00,b0,14
0000921510,15312,0423,06477,0,04995,0440,02198,1,00,11989,0217,02601,1,00,b5,1b
0000921559,15322,0399,06113,0,04992,0431,02151,1,00,11989,0215,02577,1,00,ac,10
0000921609,15316,0418,06402,0,04993,0425,02122,1,00,11990,0215,02578,1,00,b9,1d
0000921659,15312,0416,06370,0,04993,0421,02102,1,00,11988,0216,02589,1,00,b2,12
0000921709,15318,0400,06127,0,04995,0434,02168,1,00,11987,0216,02589,1,00,a6,1a
0000921760,15322,0414,06343,0,04995,0437,02183,1,00,11990,0218,02613,1,00,b9,17
0000921810,15312,0416,06370,0,04994,0436,02177,1,00,11987,0215,02577,1,00,af,1f
0000921860,15315,0394,06034,0,04994,0434,02167,1,00,11991,0216,02590,1,00,b1,1f
0000921910,15308,0419,06414,0,04994,0434,02167,1,00,11989,0215,02577,1,00,a8,12
0000921961,15312,0414,06339,0,04995,0430,02148,1,00,11989,0218,02613,1,00,b0,1e
0000922010,15323,0402,06160,0,04992,0425,02121,1,00,11990,0216,02589,1,00,cd,13
0000922060,15312,0424,06492,0,04995,0434,02167,1,00,11988,0218,02613,1,00,b4,18
0000922110,15319,0395,06051,0,04993,0436,02177,1,00,11988,0216,02589,1,00,a8,18
0000922161,15318,0406,06219,0,04994,0440,02197,1,00,11987,0214,02565,1,00,af,1b
0000922210,15316,0411,06295,0,04994,0438,02187,1,00,11990,0215,02577,1,00,b2,18
0000922259,15319,0409,06265,0,04993,0425,02122,1,00,11988,0216,02589,1,00,a3,13
0000922310,15316,0402,06157,0,04995,0441,02203,1,00,11989,0213,02553,1,00,c4,1e
0000922360,15319,0426,06526,0,04993,0431,02152,1,00,11991,0217,02602,1,00,be,1e
0000922410,15314,0405,06202,0,04992,0432,02156,1,00,11986,0217,02601,1,00,cc,10
0000922460,15322,0406,06221,0,04994,0428,02137,1,00,11991,0215,02578,1,00,b9,13
0000922510,15310,0417,06384,0,04993,0428,02137,1,00,11988,0218,02613,1,00,b6,16
0000922560,15319,0414,06342,0,04992,0438,02186,1,00,11991,0218,02614,1,00,b2,14
0000922609,15321,0403,06174,0,04993,0428,02137,1,00,11988,0218,02613,1,00,b3,17
0000922660,15315,0425,06509,0,04994,0435,02172,1,00,11988,0218,02613,1,00,af,1f
0000922710,15316,0394,06034,0,04993,0424,02117,1,00,11991,0218,02614,1,00,bd,17
0000922760,15318,0421,06449,0,04993,0436,02177,1,00,11991,0219,02626,1,00,a8,1c
0000922810,15311,0411,06293,0,04994,0430,02147,1,00,11987,0217,02601,1,00,c3,11
0000922859,15317,0406,06218,0,04994,0437,02182,1,00,11990,0217,02601,1,00,af,17
